Liednummer(neu)	Liednummer(alt)	Titel
540	607	Den Engel lasst uns preisen / Lasst uns den Engel preisen (Text geändert)
646,2	n.v.	Den Geist seines Sohnes, VII (Kv)
395	261	Den Herren will ich loben
836	n.v.	Den König, der da kommen wird, V/VI (Rufe durchs Kirchenjahr)
n.v.	661	Den Menschen, die aus dieser Zeit
589,5	364,1	Denn dein ist das Reich
704	n.v.	Der Abend kommt
n.v.	886	Der du das blinde Heidentum
257	157	Der du die Zeit in Händen hast (geändert)
469	n.v.	Der Erde Schöpfer und ihr Herr
589,7	364,3	Der Friede des Herrn
n.v.	364,3	Der Friede des Herrn sei allezeit mit euch
n.v.	254	Der Geist des Herrn erfüllet sie
n.v.	536,3	Der Geist des Herrn erfüllet sie
347	249	Der Geist des Herrn erfüllt das All
646,1	n.v.	Der Geist des Herrn erfüllt den Erdkreis (Resp.)
n.v.	251	Der Heilige Geist erfüllet das All
67,1	n.v.	Der Herr behütet dich, VI (Kv)
n.v.	567	Der Herr bricht ein um Mitternacht
653,5	n.v.	Der Herr der Scharen steht uns bei, VII (Kv)
n.v.	535,5	Der Herr ernährt uns mit dem Brote des Lebens
922	n.v.	Der Herr gebe dir seinen Segen (Kanon)
n.v.	626,2	Der Herr gibt ein Beispiel
n.v.	233,5	Der Herr hat den Tod besiegt. Halleluja
n.v.	603	Der Herr hat Großes an dir getan
69,1	753,1	Der Herr hat Großes an uns getan, IX (Kv, geändert)
432	753,1	Der Herr hat Großes an uns getan, IX (Kv, geändert)
631,3	n.v.	Der Herr hat Großes an uns getan, sein Name sei gepriesen, IX (Kv)
829,3	256	Der Herr hat Großes an uns getan
840	n.v.	Der Herr hat mich gesehen
n.v.	233,6	Der Herr hat sein Volk befreit. Halleluja
n.v.	528,2	Der Herr hat uns befreit, er schenkt
60,1	233,7	Der Herr hat uns befreit, VI (Kv)
60,1	685,1	Der Herr hat uns befreit, VI (Kv)
307,2	n.v.	Der Herr hat uns mit seinem Blut erkauft, VI (Kv)
77,1	n.v.	Der Herr ist erhaben, VII (Kv)
n.v.	527,4	Der Herr ist mein Hirt, ich leide nicht Not
37,1	535,6	Der Herr ist mein Hirt, VI (Kv)
37,1	718,1	Der Herr ist mein Hirt, VI (Kv)
38,1	90,1	Der Herr ist mein Licht und mein Heil, IV (Kv)
38,1	487	Der Herr ist mein Licht und mein Heil, IV (Kv)
38,1	719,1	Der Herr ist mein Licht und mein Heil, IV (Kv)
76,1	698,1	Der Herr ist nahe allen, die ihn rufen, I (Kv, geändert)
76,1	720,1	Der Herr ist nahe allen, die ihn rufen, I (Kv, geändert)
852,3	692,1	Der Herr ist unser Friede, VIII (Kv)
n.v.	731,1	Der Herr krönt das Jahr mit seinem Segen
45,1	149,4	Der Herr krönt das Jahr mit seinem Segen, VI (Kv, geändert)
45,1	731,1	Der Herr krönt das Jahr mit seinem Segen, VI (Kv, geändert)
n.v.	89,1	Der Herr schenkt seinem Volk den Frieden
n.v.	123,1	Der Herr schenkt seinem Volk den Frieden
n.v.	528,6	Der Herr schenkt seinem Volk den Frieden
n.v.	355,5	Der Herr sei mit euch
n.v.	360,1	Der Herr sei mit euch
32,1	149,5	Der Herr sprach (spricht) zu mir, I (Kv, geändert)
n.v.	119,2	Der Herr steht vor der Tür
n.v.	148,2	Der Herr tut Wunder vor den Augen der Völker
517	83,1	Der Herr vergibt die Schuld, IV (Kv)
517	527,5	Der Herr vergibt die Schuld, IV (Kv)
517	721,1	Der Herr vergibt die Schuld, IV (Kv)
517	742,1	Der Herr vergibt die Schuld, IV (Kv)
452	n.v.	Der Herr wird dich mit seiner Güte segnen
n.v.	674	Der Herr wird kommen als König
n.v.	811	Der Herr wird kommen, Halleluja (Kv)
n.v.	117,4	Der Himmel freue sich, die Erde jauchze
635,6	151	Der Himmel freue sich, VII (Kv, geändert)
164	485	Der in seinem Wort uns hält
305,3	176,5	Der Kelch, den wir segnen, VI (Kv, geändert)
299	n.v.	Der König siegt, sein Banner glänzt / Des Königs Banner wallt empor (geändert)
100	n.v.	Der Lärm verebbt
93	n.v.	Der Mond ist aufgegangen
79,1	n.v.	Der Name des Herrn ist erhaben, VII (Kv)
661,5	n.v.	Der Name des Herrn sei gepriesen
616,3	693,1	Der Name des Herrn sei gepriesen (V) / Gepriesen sei der Herr (geändert)
62,1	693,1	Der Name des Herrn sei gepriesen, V (Kv) / Gepriesen sei der Herr (geändert)
701	805	Der Tag ist aufgegangen
750	n.v.	Dich liebt, o Gott, mein ganzes Herz
812	n.v.	Dich lobt, mein Gott, was du gemacht
n.v.	274	Dich will ich rühmen, Herr und Gott
798	853	Dich, König, loben wir
n.v.	548	Die einen fordern Wunder
870	n.v.	Die Felder alle reifen
624,5	627,2	Die Freude an Gott, V (Kv, geändert)
n.v.	57,2	Die ganze Welt muss sich schuldig bekennen vor Gott
332	219	Die ganze Welt, Herr Jesu Christ
n.v.	667	Die helle Sonne leucht´ jetzt herfür
412	n.v.	Die Herrlichkeit des Herrn bleibe ewiglich (Kanon)
n.v.	713,1	Die Himmel rühmen die Herrlichkeit Gottes
488	n.v.	Die ihr auf Christus getauft seid (4-stg.)
64,1	745,1	Die ihr ihn fürchtet, vertraut auf den Herrn, II (Kv) / Vertraut auf den Herrn (geändert)
