Liednummer(neu)	Liednummer(alt)	Titel
783	n.v.	Öffnet euch, ihr Tore
634,2	n.v.	Ostende nobis (Kv, Taizé)
494	543	Pange lingua
589,3	378,1	Pater noster
589,7	379,1	Pax Domini sit semper vobiscum
n.v.	377,3	Per omnia saecula saeculorum
171	486	Preis und Ehre
493	544	Preise, Zunge, das Geheimnis / Das Geheimnis lasst uns künden (Text geändert)
833,1	477	Preiset den Herrn zu aller Zeit, V/VI (Kv)
833,1	723,3	Preiset den Herrn zu aller Zeit, V/VI (Kv)
n.v.	280	Preiset den Herrn, denn er ist gut
n.v.	677,1	Preist den dreifaltigen Gott
31,2	708,2	Psalm 001, IV: Wohl dem Mann, der nicht dem Rat der Frevler folgt
32,2	709,2	Psalm 002, I (II): Warum toben die Völker (geändert)
310,3	697,2	Psalm 004, IV (VIII): Wenn ich rufe, erhöre mich (geändert)
664,2	697,2	Psalm 004, VIII: Wenn ich rufe, erhöre mich
33,2	710,2	Psalm 008, VII: Herr, unser Herrscher
34,2	n.v.	Psalm 015, VI: Herr, wer darf Gast sein in deinem Zelt
649,3	n.v.	Psalm 016, II: Behüte mich, Gott
35,2	713,2	Psalm 019a, VII (II): Die Himmel rühmen die Herrlichkeit Gottes (geändert)
35,2	714,2	Psalm 019b, VII (II): Die Weisung des Herrn ist vollkommen (geändert)
36,2	715,2	Psalm 022a, II (III): Mein Gott, mein Gott, warum hast du mich verlassen (geändert)
36,2	716,2	Psalm 022b, II (III): Ich bin hingeschüttet wie Wasser (geändert)
36,2	717,2	Psalm 022c, II (III): Ich will deinen Namen meinen Brüdern verkünden (geändert)
37,2	718,2	Psalm 023, VI: Der Herr ist mein Hirte
633,4	122,2	Psalm 024, VII (VIII): Dem Herrn gehört die Erde (geändert)
38,2	719,2	Psalm 027, IV: Der Herr ist mein Licht und mein Heil
629,2	n.v.	Psalm 030, I: Ich will dich rühmen, Herr
39,2	723,4	Psalm 034,11ff., V: Kommt ihr Kinder, hört mir zu (gekürzt)
651,4	723,4	Psalm 034a, IV (V): Ich will den Herrn allezeit preisen (geändert)
651,6	723,4	Psalm 034b, V: Kommt, ihr Kinder (gekürzt)
40,2	724,2	Psalm 036,6ff., I (IX): Herr, deine Güte reicht, soweit der Himmel ist (geändert)
41,2	725,2	Psalm 040, IV (I/IX): Ich hoffte, ja ich hoffte auf den Herrn (geändert)
42,2	726,2	Psalm 042f., VI (II): Wie ein Hirsch lechzt nach frischem Wasser (geändert)
43,2	n.v.	Psalm 045, V: Mein Herz fließt über von froher Kunde
653,6	650,2	Psalm 046, VII: Gott ist uns Zuflucht und Stärke
44,2	727,2	Psalm 047, VII (VIII): Ihr Völker alle, klatscht in die Hände (geändert)
639,2	190,2	Psalm 051, IV: Gott, sei mir gnädig nach deiner Huld
639,2	85,3	Psalm 051, XI: Erbarme dich meiner, o Gott (geändert)
649,6	n.v.	Psalm 057a, VII: Sei mir gnädig
649,6	601,2	Psalm 057b, VII (III): Mein Herz ist bereit (geändert)
649,6	730,2	Psalm 057b, VII (III): Mein Herz ist bereit (geändert)
616,2	676,2	Psalm 063, IV (II): Gott, du mein Gott, dich suche ich (geändert)
618,3	676,2	Psalm 063, mehrst.: Gott, du mein Gott, dich suche ich (geändert)
45,2	731,2	Psalm 065, VI (VIII): Dir gebührt Lobgesang (geändert)
46,2	732,2	Psalm 067, II (III): Gott sei uns gnädig und segne uns (geändert)
635,5	152,2	Psalm 072, V (VI): Verleih dein Richteramt (geändert)
47,2	152,2	Psalm 072a, V (VI): Verleih dein Richteramt (geändert)
47,2	153,2	Psalm 072b, V (VI): Die Könige von Tarschisch (geändert)
48,2	735,2	Psalm 080, I (II): Du Hirte Israels, höre (geändert)
49,2	n.v.	Psalm 081, VI: Jubelt Gott zu
653,4	649,2	Psalm 084, V: Wie liebenswert ist deine Wohnung
633,6	123,2	Psalm 085, II (IV): Einst hast du, Herr, dein Land begnadet (geändert)
633,6	600,2	Psalm 085, II (IV): Einst hast du, Herr, dein Land begnadet (geändert)
633,7	600,2	Psalm 085, II (mehrst.): Einst hast du, Herr, dein Land begnadet (geändert)
50,2	736,2	Psalm 090, I (IV): Herr, du warst unsere Zuflucht (geändert)
664,6	698,2	Psalm 091, V (VIII): Wer im Schutz des Höchsten wohnt (geändert)
51,2	737,2	Psalm 092, I: Wie schön ist es, dem Herrn zu danken
52,2	738,2	Psalm 093, VIII: Der Herr ist König, bekleidet mit Hoheit
53,2	n.v.	Psalm 095, VI (V): Kommt, lasst uns jubeln vor dem Herrn
54,2	151,3	Psalm 096, VIII (II): Singt dem Herrn ein neues Lied (geändert)
54,2	740,2	Psalm 096, VIII (II): Singt dem Herrn ein neues Lied (geändert)
635,8	151,3	Psalm 096, VIII (II): Singt dem Herrn ein neues Lied (geändert)
635,8	740,2	Psalm 096, VIII (II): Singt dem Herrn ein neues Lied (geändert)
55,2	484,2	Psalm 098, VIII: Singt dem Herrn ein neues Lied
56,2	741,2	Psalm 100, V: Jauchzt vor dem Herrn
57,2	742,3	Psalm 103, II (IV): Lobe den Herrn, meine Seele (geändert)
657,4	742,3	Psalm 103, II (IV): Lobe den Herrn, meine Seele (geändert)
58,2	743,2	Psalm 104a, VIII (I): Lobe den Herrn, meine Seele (geändert)
58,2	744,2	Psalm 104b, VIII (VI): Du lässt die Quellen hervorsprudeln (geändert)
645,4	253,2	Psalm 104c, VII: Herr, wie zahlreich sind deine Werke
58,2	253,2	Psalm 104c, VIII (VII): Herr, wie zahlreich sind deine Werke (geändert)
59,2	684,2	Psalm 110, I (II): So spricht der Herr zu meinem Herrn (geändert)
60,2	685,2	Psalm 111, VI: Den Herrn will ich preisen
61,2	630,2	Psalm 112, VI (IV): Wohl dem Mann, der den Herrn fürchtet (geändert)
62,2	693,2	Psalm 113, V (IV): Lobet, ihr Knechte des Herrn (geändert)
63,2	n.v.	Psalm 114, IX: Als Israel aus Ägypten auszog
643,2	n.v.	Psalm 114, IX: Als Israel aus Ägypten auszog
64,2	745,2	Psalm 115, II (IX): Nicht uns, o Herr, bring zu Ehren (geändert)
629,4	746,3	Psalm 116, VI (VII): Ich liebe den Herrn (geändert)
n.v.	747,2	Psalm 116b: Voll Vertrauen war ich, auch wenn ich sagte
65,2	748,2	Psalm 117, VI (V): Lobet den Herrn, alle Völker (geändert)
65,5	749	Psalm 117, VI: Laudate Dominum
125,2	n.v.	Psalm 118, VIII: Confitemini Domino
643,4	n.v.	Psalm 118a, VI: Danket dem Herrn, denn er ist gütig
643,5	235,2	Psalm 118a, VI: In der Bedrängnis rief ich zum Herrn
66,2	235,2	Psalm 118ab, VI: Danket dem Herrn, denn er ist gütig
643,5	235,4	Psalm 118b, VI: Alle Völker umringen mich
66,2	236,2	Psalm 118c, VI: Öffnet mir die Tore zur Gerechtigkeit
643,5	236,2	Psalm 118c, VI: Öffnet mir die Tore zur Gerechtigkeit
n.v.	750,2	Psalm 119a: Wohl denen, deren Weg ohne Tadel ist
n.v.	751,2	Psalm 119b: Herr, öffne mir die Augen
67,2	752,2	Psalm 121, VI (IX): Ich hebe meine Augen auf zu den Bergen (geändert)
68,2	692,2	Psalm 122, VI (VIII): Ich freute mich, als man mir sagte (geändert)
69,2	753,2	Psalm 126, IX (II): Als der Herr das Los der Gefangenschaft Zions wendete (geändert)
70,2	n.v.	Psalm 127, X: Wenn nicht der Herr das Haus baut
71,2	n.v.	Psalm 128, VIII: Wohl dem Mann, der den Herrn fürchtet und ehrt
639,4	191,2	Psalm 130, II (VII): Aus der Tiefe rufe ich zu dir (geändert)
72,2	n.v.	Psalm 131, VI: Herr, mein Herz ist nicht stolz
73,2	n.v.	Psalm 133, VI: Seht doch, wie gut und schön ist es
664,4	697,3	Psalm 134, VIII: Wohlan, nun preiset den Herrn
74,2	n.v.	Psalm 137, I: An den Strömen von Babel
n.v.	754,2	Psalm 137: An den Strömen von Babel
657,2	755,2	Psalm 139, IV: Herr, du hast mich erforscht
661,3	n.v.	Psalm 141, II: Herr, ich rufe zu dir
75,2	756,2	Psalm 142, III (I): Mit lauter Stimme schrei ich zum Herrn (geändert)
76,2	757,2	Psalm 145a, I (VII): Ich will dich rühmen (geändert)
76,2	758,2	Psalm 145b, I: Der Herr ist treu
77,2	759,2	Psalm 146, VII (IV): Lobe den Herrn, meine Seele (geändert)
78,2	760,2	Psalm 147, V (VI): Gut ist es, unserm Gott / Der Herr baut Jerusalem (geändert)
645,6	760,1	Psalm 147a, V (VI): Gut ist es, unserm Gott - 1. Vers (geändert)
79,2	761,2	Psalm 148, VII (II): Lobt den Herrn vom Himmel her (geändert)
n.v.	761,2	Psalm 148: Lobt den Herrn vom Himmel her
80,2	n.v.	Psalm 149, VII: Singt dem Herrn ein neues Lied
616,6	678	Psalm 150, VII: Lobet Gott in seinem Heiligtum
n.v.	728,2	Psalm 49: Hört dies an, ihr Völker alle
n.v.	729,2	Psalm 50: Der Herr der Götter, der Herr spricht
n.v.	733,2	Psalm 71: Herr, ich suche Zuflucht bei dir
n.v.	734,2	Psalm 77: Ich rufe zu Gott, ich schreie
n.v.	739,2	Psalm 94: Erhebe dich, du Richter der Erde
589,5	378,2	Quia tuum est regnum
666,3	574	Regina caeli (Marian. Antiphon)
512	n.v.	Requiem aeternam
n.v.	529,1	Richte uns wieder auf
n.v.	735,1	Richte uns wieder auf, Gott, unser Heil
634,3	126	Richtet euch auf und erhebt euer Haupt, II (Kv)
234,2	120,4	Rorate Caeli, I (Kv)
176,4	197	Ruhm und Preis und Ehre sei dir (geändert)
752	165	Sag' ja zu mir, wenn alles nein sagt
531	588	Sagt an, wer ist doch diese
495	542	Sakrament der Liebe Gottes
666,4	570	Salve Regina (Marian. Antiphon)
n.v.	572	Salve! Maria Königin, Mutter und Königin
118	416	Sanctus (Adventus et quadragesima)
717	n.v.	Sanctus (Kanon, Taizé)
115	412	Sanctus (Lux et origo)
n.v.	420	Sanctus (Missa Alme Pater)
110	407	Sanctus (Missa de Angelis)
106	403	Sanctus (Missa mundi)
n.v.	609	Sankt Josef, Spross aus Davids Stern
545	n.v.	Sankt Martin
n.v.	358,1	Schenke der Welt deinen Frieden
859,2	n.v.	Schön ist, was wir sehen (Kanon)
364	551	Schönster Herr Jesu
433,2	n.v.	Schweige und höre (Kanon)
490	636	Segne dieses Kind (geändert)
535	n.v.	Segne du, Maria
88,1	16,9	Segne, Vater, diese Gaben (Kanon)
n.v.	204,2	Seht das Kreuz, an dem der Herr gehangen
761	n.v.	Seht das Zeichen
262	n.v.	Seht ihr unsern Stern dort stehen (1-3-stg.)
881	n.v.	Seht, das Brot, das wir hier teilen
308,3	204,2	Seht, das Holz des Kreuzes / Seht das Kreuz (Akklamation, geändert)
729	n.v.	Seht, neuer Morgen
263	152,1	Seht, unser König kommt, VI (Kv)
263	526,3	Seht, unser König kommt, VI (Kv)
901	877	Sei gegrüßt, du Gnadenreiche
806	n.v.	Sei gegrüßt, Herr Jesus (3-stg., ostkirchlich)
649,1	600,1	Sei gegrüßt, Maria, II (Kv, Kircheton geändert)
n.v.	571	Sei gegrüßt, o Königin
790	839	Sei gelobt und hochgepriesen
664,1	n.v.	Sei mir gnädig, Herr, VIII (Kv)
308,4	205,2	Sei uns gegrüßt, du heiliges Kreuz, II (Kv)
n.v.	131	Sei uns willkommen, Herre Christ
665,2	700,1	Sei unser Heil, III (Kv)
742	n.v.	Seid nun fröhlich, jubilieret
65,1	n.v.	Seine Gnade währet durch alle Zeit, VI (Kv)
61,1	n.v.	Selig der Mensch, der gütig, VI (Kv)
31,1	n.v.	Selig der Mensch, der seine Freude hat, IV (Kv)
n.v.	598	Selig der Mensch, der trägt den Herrn
458	n.v.	Selig seid ihr, wenn ihr einfach lebt (4-stg.)
459	n.v.	Selig seid ihr, wenn ihr Wunden heilt (4-stg.)
544,2	631,2	Selig, die arm sind vor Gott - Seligpreisungen Mt 5 (geändert)
651,8	631,2	Selig, die arm sind vor Gott - Seligpreisungen Mt 5 (geändert)
651,7	649,1	Selig, die bei dir wohnen, Herr, V (Kv)
653,3	649,1	Selig, die bei dir wohnen, Herr, V (Kv)
275	n.v.	Selig, wem Christus auf dem Weg begegnet
71,1	n.v.	Selig, wer Gott fürchtet, VIII (Kv)
n.v.	836	Send deinen Geist, Herr Jesus Christ
165	246	Send uns deines Geistes Kraft (Kyrie)
312,2	253,1	Sende aus deinen Geist, VII (Kv)
645,3	253,1	Sende aus deinen Geist, VII (Kv)
788	n.v.	Sende deinen Geist aus (Kanon)
747	147	Sieh, dein Licht will kommen
622,4	n.v.	Sieh, der Herr kommt in Herrlichkeit, V (Kv, Benedictus)
n.v.	119,7	Siehe, die Jungfrau wird empfangen
649,4	601,1	Siehe, ich bin die Magd des Herrn, V/VII (Kv, geändert)
n.v.	124,1	Siehe, kommen wird der Herr
189	n.v.	Siehe, wir kommen (Kv)
736	135	Singen wir mit Fröhlichkeit
n.v.	273	Singet dem Herrn ein neues Lied
n.v.	526,2	Singet dem Herrn ein neues Lied
n.v.	232,2	Singet dem Herrn ein neues Lied ... auferstanden
n.v.	232,3	Singet dem Herrn ein neues Lied ... aufgefahren
833,2	527,1	Singet dem Herrn und preiset seinen Namen, II (Kv)
n.v.	513	Singet dem Herrn! Singet ihm mit Freuden!
n.v.	286,1	Singet dem Herrn, ja singet ihm
n.v.	260	Singet Lob unserm Gott
n.v.	277	Singet, danket unserm Gott
n.v.	272	Singt das Lied der Freude über Gott
n.v.	216	Singt das Lob dem Osterlamme
409	268	Singt dem Herrn ein neues Lied
54,1	n.v.	Singt dem Herrn, alle Länder der Erde, VIII (Kv)
376	n.v.	Singt dem Herrn, alle Länder der Erde, VIII (Kv)
280	825	Singt dem König Freudenpsalmen
631,1	217 Kv	Singt ihr Christen, singt dem Herrn, IX (Kv)
44,1	n.v.	Singt unserm Gott, ja singt ihm, VII (Kv)
80,1	n.v.	Singt, singt, singt dem Herrn, VII (Kv)
716	803	Singt: Heilig, heilig
851	n.v.	So nimm denn meine Hände
298	177	So sehr hat Gott die Welt geliebt (Kanon, geändert)
298	194	So sehr hat Gott die Welt geliebt (Kanon, geändert)
640,2	177	So sehr hat Gott die Welt geliebt, IX (Kv, geändert)
640,2	194	So sehr hat Gott die Welt geliebt, IX (Kv, geändert)
807	177	So sehr hat Gott die Welt geliebt, IX/I (Kv)
807	194	So sehr hat Gott die Welt geliebt, IX/I (Kv)
623,5	n.v.	So spricht der Herr: Bekehrt euch, I (Kv, Benedictus)
n.v.	647,1	So spricht der Herr: Bleibet in meiner Liebe
n.v.	561,1	So spricht der Herr: Ich bin der Weg
425	300	Solang' es Menschen gibt auf Erden
481	644	Sonne der Gerechtigkeit (Leise)
261	n.v.	Stern über Bethlehem
249	145	Stille Nacht
417	n.v.	Stimme, die Stein zerbricht
550	n.v.	Ströme lebendigen Wassers
457	n.v.	Suchen und fragen
n.v.	625,1	Suchet das Gute, nicht das Böse
639,6	n.v.	Sucht den Herrn: Jes 55,6-7
779	n.v.	Surrexit Christus (Kv, 4-stg., Taizé)
321	n.v.	Surrexit Dominus vere (Kanon, Taizé)
n.v.	137	Tag an Glanz und Freuden groß
496	541	Tantum ergo
n.v.	868	Tantum ergo (gregorianisch)
883	869	Tantum ergo (OS geändert)
63,1	n.v.	Tanze, du Erde, IX (Kv)
330	n.v.	Tanze, du Erde, IX (Kv)
462	n.v.	Tanzen, ja tanzen wollen wir
158	103	Tau aus Himmelshöh'n (Litanei)
723	809	Tauet Himmel den Gerechten (2 Fassungen)
n.v.	104	Tauet, Himmel aus den Höhn
n.v.	117,1	Tauet, ihr Himmel von oben
n.v.	706	Te Deum (Deutsch)
407	n.v.	Te Deum laudamus (Kanon, Janssens)
379	n.v.	Te Deum laudamus (Kv, gregorianisch)
586,6	376,5	Te rogamus, audi nos
419	n.v.	Tief im Schoß meiner Mutter
228	n.v.	Tochter Zion (4-stg.)
656	n.v.	Tod und Vergehen (Hymnus)
860	n.v.	Tragt in die Welt nun ein Licht
777	834	Triumph! Der Tod ist überwunden
486	645,1	Tu es Petrus, VII (Kv)
445	n.v.	Ubi caritas (2-stg., Taizé - geändert)
285	625,2	Ubi Caritas, I (Kv, gregorianisch)
623,2	n.v.	Um deines Namens Willen, Herr, II (Kv)
274	n.v.	Und suchst du meine Sünde
n.v.	812	Uns ist gebor'n ein Kinderlein
819	n.v.	Unser Leben sei ein Fest
50,1	736,1	Unsere Tage zu zählen, lehre uns, I (Kv) / Vor dir sind tausend Jahre (geändert)
900	n.v.	Unter dem Kreuze
n.v.	606	Unüberwindlich starker Held
n.v.	56,3	Vater ich habe gesündigt vor Dir
504	n.v.	Vater im Himmel, höre unser Klagen
n.v.	363	Vater unser
661,8	n.v.	Vater unser (4-stg., Rimskij-Korsakov)
589,2	362	Vater unser (Messe)
632,2	691	Vater unser (Vesper)
846	850	Vater unser, der du wohnest
n.v.	821	Vater von dem Himmelsthron
308,1	203,1	Vater, in deine Hände empfehle ich meinen Geist, IV (Kv)
n.v.	176,4	Vater, wenn es möglich ist
341	240	Veni Creator Spiritus (Hymnus)
345,2	n.v.	Veni Sancte Spiritus (Kv, 4-stg., Taizé)
343	243	Veni Sancte Spiritus (Sequenz)
345,1	n.v.	Veni Sancte Spiritus, tui amoris ignem accende (4-stg., Taizé)
631,7	n.v.	Venite et videte, VIII (Kv)
276	n.v.	Verbirg dein Gesicht vor meinen Sünden, II (Kv)
n.v.	376,1	Verbum Domini – Deo gratias
n.v.	376,2	Verbum Domini – Deo gratias
n.v.	376,4	Verbum Domini – Laus tibi Christe
n.v.	57,6	Vergib uns unsre Schuld
475	310	Verleih' uns Frieden gnädiglich
n.v.	172,1	Verschone uns, Herr
856	n.v.	Vertraut den neuen Wegen
320	215	Victimae pascali laudes (Sequenz)
125,1	424,2	Vidi aquam
374	n.v.	Volk Gottes, zünde Lichter an
n.v.	556	Völker aller Land, schlaget
n.v.	647,3	Vollende, o Gott, vom Himmel her
415	n.v.	Vom Aufgang der Sonne (Kanon)
237	138	Vom Himmel hoch
324	224	Vom Tode heut' erstanden ist
310,1	n.v.	Von den Ketten des Todes befreit uns der Herr, VI (Kv)
920	n.v.	Von Gott bist du so hoch geehrt
858	n.v.	Von guten Mächten treu und still umgeben - Fietz (geändert)
430	n.v.	Von guten Mächten treu und still umgeben - Grahl (geändert)
310,4	n.v.	Vor den Pforten der Unterwelt, I (Kv)
657	n.v.	Vor dir ist auch die Finsternis nicht finster (Kv)
554	110	Wachet auf, ruft uns die Stimme
756	822	Wacht auf, ihr Christen
774	830	Wahrer Gott, wir glauben dir
916	n.v.	War der Weg auch unbekannt (Niels Stensen, geändert)
848	n.v.	Was alle Zeiten sich erhofften
416	294	Was Gott tut, das ist wohlgetan
n.v.	619	Was ihr dem geringsten Menschen
186	490	Was uns die Erde Gutes spendet
863	n.v.	Wasser des Lebens
n.v.	663	Weder Tod noch Leben
n.v.	217	Weihet dem Osterlamm
470	n.v.	Wenn das Brot, das wir teilen
463	n.v.	Wenn ich, Schöpfer, deine Macht
n.v.	658	Wenn mein Stündlein vorhanden ist
474	n.v.	Wenn wir das Leben teilen
n.v.	846	Wenn wir in höchsten Nöten
n.v.	514	Wenn wir jetzt weitergehen
714	n.v.	Wenn wir unsere Gaben bringen
n.v.	536,2	Wer allzeit lebt in deiner Liebe
460	183	Wer leben will wie Gott auf dieser Erde
n.v.	173,2	Wer nicht von neuem geboren wird
424	295	Wer nur den lieben Gott läßt walten
n.v.	296	Wer nur den lieben Gott lässt walten
423	291	Wer unter'm Schutz des Höchsten steht
260	153,1	Werde licht, Jerusalem, VI (Kv)
n.v.	117,2	Werdet wach, erhebet euch
441	n.v.	Wie deines Auges Stern behüte mich (Kv)
312,8	n.v.	Wie der Hirsch verlangt nach frischem Wasser, V (Kv)
872	n.v.	Wie ein Fest nach langer Trauer
72,1	n.v.	Wie ein gestilltes Kind bei seiner Mutter, VI (Kv)
866	n.v.	Wie groß sind deine Werke, Herr
n.v.	744,1	Wie groß sind Deine Werke, Herr
51,1	n.v.	Wie groß sind deine Werke, I (Kv)
n.v.	633	Wie herrlich ist das Reich
74,1	n.v.	Wie könnte ich dich dich je vergessen, I (Kv, geändert)
854	851	Wie mein Gott will, bin ich bereit
n.v.	737,1	Wie schön ist es, dem Herrn zu danken
357	554	Wie schön leuchtet der Morgenstern
661,2	n.v.	Wie Weihrauch steige mein Gebet, II / Mein Beten steige (Kv, geändert)
97	n.v.	Wie Weihrauch steige mein Gebet, VI / Mein Beten steige (2-3-stg., geändert)
757	826	Wir aber soll'n uns rühmen
n.v.	539	Wir alle essen von einem Brot
890	863	Wir beten an dich, wahres Lebensbrot
297	178	Wir danken dir, Herr Jesu Christ
765	n.v.	Wir empfangen Jesus in Jerusalem
817	n.v.	Wir feiern heut' ein Fest
791	467	Wir glauben an den einen Gott
n.v.	450	Wir glauben an Gott Vater
355	276	Wir glauben Gott im höchsten Thron (geändert)
355	796	Wir glauben Gott im höchsten Thron (geändert)
871	n.v.	Wir haben hier den Tisch gedeckt (Kanon)
889	n.v.	Wir preisen deinen Tod (Kanon)
211	483	Wir rühmen dich, König der Herrlichkeit
305,1	n.v.	Wir rühmen uns im Kreuz, V (Kv)
n.v.	286,3	Wir rühmen uns in Gott den ganzen Tag
223	115	Wir sagen euch an
n.v.	184	Wir schlugen ihn
n.v.	646,3	Wir sind auf Christus getauft
n.v.	526,1	Wir sind Gottes Volk
n.v.	645,2	Wir sind Gottes Volk
n.v.	655	Wir sind mitten im Leben
505	656	Wir sind nur Gast auf Erden
187	480	Wir weih'n der Erde Gaben
713	n.v.	Wir weih'n, wie du geboten
326	223	Wir wollen alle fröhlich sein
911	n.v.	Wir wollen, Gott, dir danken (Lübecker Märtyrer)
225	n.v.	Wir ziehen vor die Tore der Stadt
438	n.v.	Wir, an Babels fremden Ufern
442	645,3	Wo die Güte und die Liebe wohnt, VI (Kv und Verse) / Wo Güte und Liebe (geändert)
305,5	645,3	Wo die Güte und die Liebe wohnt, VI (Kv, geändert)
442	857	Wo die Güte und die Liebe, IV (geändert, mit Versen)
770	857	Wo die Güte und die Liebe, IV (Kv)
305,5	n.v.	Wo die Güte und die Liebe, IV (Kv, geändert)
873	n.v.	Wo Menschen sich vergessen
845	n.v.	Wo zwei oder drei (Kanon)
145	n.v.	Wohin soll ich mich wenden
n.v.	630,1	Wohl dem Menschen, der Gottes Wege geht
n.v.	708,1	Wohl dem Menschen, der Gottes Wege geht
543	614	Wohl denen, die da wandeln
n.v.	528,5	Wohl euch, die ihr seht
910	n.v.	Wohlan, ihr Christen alle
n.v.	623	Worauf sollen wir hören, sag uns worauf
n.v.	355,1	Wort des lebendigen Gottes
804	n.v.	Wort des Vaters, Licht der Heiden (Darstellung des Herrn)
898	875	Wunderschön prächtige
653,8	n.v.	Würdig bist du, unser Herr und Gott, Offb 4,11
653,7	n.v.	Würdig ist das Lamm (Kv)
272	n.v.	Zeige uns, Herr, deine Allmacht
837	304	Zieh an die Macht
239	140	Zu Bethlehem geboren
n.v.	884	Zu der Apostel Preis und Ruhm
n.v.	529,2	Zu dir, Herr, erhebe ich meine Seele
142	462	Zu dir, o Gott, erheben wir
664,3	n.v.	Zu nächtlicher Stunde preiset den Herrn (Kv)
515	84	Zum Paradies mögen Engel dich geleiten
